Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
1/1/2020,1514.8,1349.4,164615.4,1143.4,1964.3,1466.8,108120.0,10551.3,1514.8,9014.3,5682.3,21028516.9,5563.9,45372.4,35100544.4,24311.7,1751732.6,1349.4,94083.0,1514.8,21181.5,10551.3,1964.3,2154.9
1/2/2020,1527.1,1363.4,165346.7,1158.0,1982.3,1479.9,108987.2,10633.5,1527.1,9087.6,5728.3,21209889.9,5609.3,46038.2,35381376.5,24494.7,1768687.0,1363.4,94292.7,1527.1,21461.9,10633.5,1982.3,2180.8
1/3/2020,1548.8,1387.2,167303.7,1184.9,2010.5,1503.2,111189.6,10798.0,1548.8,9248.0,5810.9,21566343.8,5688.6,46698.7,35887635.0,24841.9,1807313.7,1387.2,95904.4,1548.8,22054.2,10798.0,2010.5,2226.3
1/6/2020,1573.1,1405.9,170390.3,1195.4,2040.9,1523.9,113164.9,10971.4,1573.1,9395.0,5901.3,21929012.0,5778.2,47409.3,36459735.3,25228.6,1843908.8,1405.9,97192.0,1573.1,22386.8,10971.4,2040.9,2268.8
1/7/2020,1567.9,1407.2,170299.8,1195.0,2040.9,1523.7,112604.9,10877.1,1567.9,9370.3,5881.6,21753916.7,5759.0,47321.6,36336488.2,25203.2,1828739.9,1407.2,97215.5,1567.9,22445.3,10877.1,2040.9,2282.7
1/8/2020,1572.0,1413.7,170768.8,1200.1,2049.3,1525.4,112712.7,10912.5,1572.0,9352.7,5897.0,21838314.7,5774.0,47689.0,36431512.1,25198.4,1840517.4,1413.7,96836.0,1572.0,22381.4,10912.5,2049.3,2293.0
1/9/2020,1550.8,1396.8,169876.9,1188.5,2030.9,1508.8,110432.8,10748.4,1550.8,9088.6,5817.5,21477887.5,5696.1,46983.8,35937080.5,24738.3,1797396.5,1396.8,95059.0,1550.8,22017.6,10748.4,2030.9,2262.7
1/10/2020,1553.6,1397.9,170212.4,1189.5,2027.7,1512.0,110214.3,10765.2,1553.6,9112.6,5828.5,21381418.0,5706.6,46973.1,36007783.8,24849.8,1804117.8,1397.9,94703.6,1553.6,22113.6,10765.2,2027.7,2249.8
1/13/2020,1549.9,1392.0,170380.5,1194.3,2023.0,1504.7,109822.0,10686.3,1549.9,9096.4,5814.6,21184031.9,5693.0,46849.6,35917380.3,24674.4,1791916.6,1392.0,94985.6,1549.9,22373.2,10686.3,2023.0,2244.4
1/14/2020,1545.1,1389.3,170022.8,1187.7,2018.8,1496.0,109513.8,10638.0,1545.1,9085.6,5796.9,21121515.0,5675.4,46781.8,35809234.2,24536.2,1786289.7,1389.3,94919.3,1545.1,22235.5,10638.0,2018.8,2239.0
1/15/2020,1549.0,1389.1,170382.3,1189.3,2021.1,1494.9,109698.2,10668.0,1549.0,9112.4,5811.2,21167085.0,5689.7,46868.9,35898849.5,24582.6,1792038.0,1389.1,95420.3,1549.0,22293.2,10668.0,2021.1,2243.5
1/16/2020,1554.6,1395.3,171202.6,1189.8,2027.5,1498.8,110270.0,10702.5,1554.6,9097.5,5831.9,21188513.8,5710.1,47211.7,36022028.1,24608.5,1805065.4,1395.3,95818.6,1554.6,22395.2,10702.5,2027.5,2253.5
1/17/2020,1557.6,1403.9,171608.5,1195.3,2034.1,1507.5,110723.0,10683.4,1557.6,9191.6,5843.3,21241768.0,5721.3,47347.1,36085694.6,24656.8,1805959.1,1403.9,95769.0,1557.6,22534.6,10683.4,2034.1,2264.1
1/20/2020,1560.2,1407.8,171866.1,1200.4,2037.2,1512.7,110940.3,10704.5,1560.2,9231.8,5853.2,21268743.5,5730.7,47334.9,36148673.2,24603.6,1806887.5,1407.8,96105.2,1560.2,22637.8,10704.5,2037.2,2272.0
1/21/2020,1551.3,1397.8,170503.4,1187.8,2026.8,1501.2,110464.2,10716.1,1551.3,9205.8,5819.9,21186880.4,5698.2,47113.0,35945173.4,24510.5,1810444.8,1397.8,95939.2,1551.3,22459.0,10716.1,2026.8,2261.5
1/22/2020,1556.9,1405.7,171118.9,1184.8,2042.5,1510.4,110845.4,10744.5,1556.9,9215.7,5840.4,21243120.7,5718.7,47283.0,36074149.2,24606.8,1813087.9,1405.7,96613.4,1556.9,22332.2,10744.5,2042.5,2276.3
1/23/2020,1562.9,1415.0,170934.4,1191.3,2054.6,1514.9,111389.8,10830.9,1562.9,9279.3,5862.9,21302325.7,5740.8,47672.4,36213172.2,24646.9,1826639.3,1415.0,96930.1,1562.9,22515.9,10830.9,2054.6,2282.6
