Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
1/1/2018,1291.0,1075.1,145431.1,954.4,1617.6,1258.1,82401.3,8407.0,1291.0,4895.0,4841.6,17515642.5,4741.6,42073.7,29317319.0,22954.0,1382079.8,1075.1,74324.5,1291.0,15982.6,8407.0,1617.6,1650.6
1/2/2018,1312.1,1089.3,147139.8,966.2,1640.7,1275.6,83245.3,8524.0,1312.1,4937.3,4920.5,17735633.2,4819.4,42759.7,29797307.1,23262.6,1392412.9,1089.3,75554.4,1312.1,16346.5,8524.0,1640.7,1675.4
1/3/2018,1314.9,1093.6,147788.2,973.1,1648.4,1284.7,83548.7,8550.1,1314.9,4952.2,4931.3,17722220.9,4829.8,42484.4,29859404.4,23286.9,1399645.1,1093.6,75337.2,1314.9,16268.6,8550.1,1648.4,1678.6
1/4/2018,1314.5,1088.6,148242.7,970.0,1646.7,1281.3,83334.4,8540.6,1314.5,4924.1,4929.8,17645190.8,4828.1,42366.3,29852623.6,23286.4,1396196.1,1088.6,74887.1,1314.5,16178.2,8540.6,1646.7,1672.1
1/5/2018,1317.2,1094.3,149140.9,971.1,1632.7,1284.7,83462.8,8541.9,1317.2,4922.3,4939.7,17672858.8,4837.7,42451.7,29911815.7,23333.3,1399735.1,1094.3,75096.5,1317.2,16255.3,8541.9,1632.7,1676.2
1/8/2018,1320.0,1102.1,149127.9,972.0,1639.2,1288.7,83674.9,8573.2,1320.0,4947.4,4950.2,17720328.1,4848.0,42542.0,29975403.4,23356.5,1407198.5,1102.1,75329.5,1320.0,16377.3,8573.2,1639.2,1684.2
1/9/2018,1311.0,1098.9,147395.7,969.5,1633.5,1288.5,83495.9,8549.2,1311.0,4937.8,4916.9,17616562.5,4815.4,42295.5,29772154.5,23214.5,1399033.5,1098.9,74795.8,1311.0,16222.1,8549.2,1633.5,1675.9
1/10/2018,1319.8,1101.5,146960.8,975.3,1647.3,1289.1,83944.3,8600.6,1319.8,5018.6,4949.5,17730181.4,4847.6,42416.8,29970862.6,23359.6,1414507.8,1101.5,75150.7,1319.8,16422.6,8600.6,1647.3,1681.5
1/11/2018,1323.1,1098.3,147394.4,977.5,1658.7,1289.9,84228.7,8611.1,1323.1,5002.6,4962.0,17728205.9,4859.4,42337.6,30044476.5,23418.0,1418375.3,1098.3,74984.7,1323.1,16450.5,8611.1,1658.7,1680.4
1/12/2018,1326.8,1092.3,147692.7,969.4,1659.7,1288.7,84417.6,8581.7,1326.8,4975.8,4975.9,17717421.2,4873.3,42417.8,30130960.2,23497.6,1412842.6,1092.3,75053.7,1326.8,16495.4,8581.7,1659.7,1681.5
1/15/2018,1339.3,1091.2,148000.5,970.3,1661.7,1290.2,84983.8,8627.5,1339.3,5081.5,5022.7,17858229.1,4919.2,42722.1,30413697.9,23704.1,1423287.9,1091.2,75500.3,1339.3,16519.7,8627.5,1661.7,1679.5
1/16/2018,1333.9,1090.6,147637.2,968.4,1655.1,1283.5,85426.4,8584.7,1333.9,5067.6,5002.3,17790222.4,4899.4,42629.8,30292397.1,23629.2,1417415.4,1090.6,75247.5,1333.9,16379.7,8584.7,1655.1,1676.2
1/17/2018,1335.7,1091.0,147889.8,965.5,1664.1,1283.4,85296.3,8590.9,1335.7,5078.9,5009.1,17842947.1,4905.8,42674.0,30334612.8,23641.0,1428143.7,1091.0,75791.5,1335.7,16372.6,8590.9,1664.1,1674.5
1/18/2018,1332.2,1088.4,147814.2,959.5,1661.0,1278.0,85046.0,8559.9,1332.2,5020.3,4996.1,17780206.7,4892.8,42543.8,30258923.6,23593.3,1426253.1,1088.4,75329.2,1332.2,16176.2,8559.9,1661.0,1668.0
1/19/2018,1335.0,1092.0,147692.2,964.1,1662.4,1283.8,85149.8,8549.0,1335.0,5080.1,5006.3,17772856.2,4902.8,42544.9,30317380.9,23655.3,1422923.0,1092.0,75715.0,1335.0,16326.4,8549.0,1662.4,1668.5
1/22/2018,1332.6,1087.7,147645.4,954.1,1658.8,1280.2,85084.8,8533.3,1332.6,5030.6,4997.4,17786876.5,4894.8,42443.3,30264009.0,23607.0,1425948.2,1087.7,75390.2,1332.6,16139.5,8533.3,1658.8,1661.6
1/23/2018,1333.4,1084.7,147134.0,951.2,1658.1,1276.9,85064.2,8540.4,1333.4,5029.7,5000.8,17770887.2,4897.3,42455.5,30282178.5,23619.5,1427071.3,1084.7,75185.4,1333.4,16094.1,8540.4,1658.1,1667.4
1/24/2018,1353.7,1093.3,147797.0,951.8,1671.5,1280.3,86195.1,8647.0,1353.7,5055.0,5076.5,18023161.2,4972.3,42833.1,30743202.7,23987.5,1448661.9,1093.3,76144.8,1353.7,16126.0,8647.0,1671.5,1677.1
1/25/2018,1355.0,1083.7,147276.3,947.4,1665.0,1262.4,86151.1,8583.6,1355.0,5058.0,5081.5,18003897.5,4976.5,42653.8,30771590.9,23969.1,1434417.6,1083.7,75561.4,1355.0,16027.4,8583.6,1665.0,1673.9
1/26/2018,1353.2,1088.3,146931.8,954.1,1667.9,1265.4,86036.6,8554.6,1353.2,5074.7,5074.7,18002306.3,4969.7,42434.8,30730710.9,23937.2,1439616.1,1088.3,76102.8,1353.2,16095.7,8554.6,1667.9,1671.9
1/29/2018,1343.9,1087.6,146520.0,955.6,1657.2,1258.3,85386.5,8501.6,1343.9,5088.7,5039.8,17958537.5,4935.6,42223.8,30519502.1,23727.4,1431939.0,1087.6,75746.1,1343.9,16099.3,8501.6,1657.2,1660.1
1/30/2018,1344.9,1083.6,146338.6,952.7,1657.8,1257.0,85586.1,8530.6,1344.9,5086.1,5043.7,18065367.9,4939.7,42270.2,30542004.3,23734.1,1444019.0,1083.6,75775.9,1344.9,16080.8,8530.6,1657.8,1662.5
1/31/2018,1345.1,1079.7,146818.9,945.9,1650.2,1250.4,85550.2,8462.0,1345.1,5045.8,5043.9,18008199.3,4940.5,42127.0,30545072.3,23753.6,1436311.2,1079.7,75680.9,1345.1,15970.8,8462.0,1650.2,1661.1
2/1/2018,1341.4,1075.6,146723.6,942.2,1647.5,1245.0,85641.8,8444.9,1341.4,5007.7,5030.2,18010304.5,4926.6,42051.3,30461384.5,23663.1,1437792.8,1075.6,75272.4,1341.4,15900.0,8444.9,1647.5,1671.4
2/2/2018,1331.2,1070.3,146939.0,942.5,1649.4,1240.6,85285.1,8358.7,1331.2,5011.1,4992.0,17905962.9,4889.2,41771.5,30229748.7,23488.1,1437708.2,1070.3,75118.4,1331.2,16037.9,8358.7,1649.4,1676.4
2/5/2018,1333.6,1073.8,146842.7,951.3,1663.0,1249.5,85420.4,8392.7,1333.6,5020.6,5001.2,18033604.0,4898.4,42035.1,30285385.9,23524.7,1451623.4,1073.8,75630.1,1333.6,16031.5,8392.7,1663.0,1680.1
2/6/2018,1331.4,1078.5,145502.0,957.3,1668.7,1249.9,85474.2,8357.3,1331.4,5030.4,4993.0,18046460.0,4890.4,41992.3,30236757.5,23539.1,1453289.3,1078.5,76064.5,1331.4,16053.4,8357.3,1668.7,1690.3
